method,child_id,alpha,energy_mwh,p_req_mean_mw,p_req_std_mw,p_req_min_mw,p_req_max_mw,mean_abs_ramp_mw,feasible,status,fuel_kg,operating_fuel_kg,start_fuel_kg,dg_count_switches,commitment_signature
arithmetic,arithmetic_028,0.7000000000000001,385.43305023677704,16.059710426532376,0.5240054107284516,14.768198671598038,16.968494858232933,0.3358920279547797,True,Optimal,69933.10232233303,69593.10232233303,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_029,0.7250000000000001,385.4330502367769,16.059710426532373,0.5148599449807065,14.73631171655047,16.956827425850225,0.33309749558560303,True,Optimal,69933.12406050353,69593.12406050353,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_030,0.75,385.433050236777,16.059710426532373,0.5076104492616725,14.70442476150291,16.954900471650966,0.3303029632164269,True,Optimal,69933.1457986829,69593.1457986829,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_031,0.775,385.433050236777,16.059710426532373,0.502339015242688,14.672537806455349,16.9529735174517,0.3283069794024329,True,Optimal,69933.16753684414,69593.16753684414,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_032,0.8,385.433050236777,16.059710426532373,0.499108321961883,14.640650851407784,16.95104656325244,0.32672663780837713,True,Optimal,69917.92644570142,69507.92644570142,410.0,2,222222222222222222222222222222222332222222222222
arithmetic,arithmetic_033,0.8250000000000001,385.433050236777,16.059710426532373,0.4979580912581654,14.608763896360221,16.949119609053174,0.3258109189316718,True,Optimal,69916.3876647755,69506.3876647755,410.0,2,222222222222222222222222222222222332222222222222
arithmetic,arithmetic_034,0.8500000000000001,385.433050236777,16.059710426532373,0.4989027129898181,14.576876941312658,16.94719265485391,0.32537005605827873,True,Optimal,69915.8837186207,69505.8837186207,410.0,2,222222222222222222222222222222222332222222222222
arithmetic,arithmetic_035,0.875,385.43305023677704,16.059710426532376,0.5019303598996405,14.544989986265099,16.950428165319316,0.32514887253231833,True,Optimal,69915.60941602931,69505.60941602931,410.0,2,222222222222222222222222222222222332222222222222
arithmetic,arithmetic_036,0.9,385.433050236777,16.059710426532373,0.5070037160915288,14.513103031217534,16.95464253596043,0.32497664807313825,True,Optimal,69915.41689679137,69505.41689679137,410.0,2,222222222222222222222222222222222332222222222222
arithmetic,arithmetic_037,0.925,385.4330502367769,16.059710426532373,0.5140622169091141,14.48121607616997,16.958856906601547,0.3257662512169234,True,Optimal,69915.76734928151,69505.76734928151,410.0,2,222222222222222222222222222222222332222222222222
arithmetic,arithmetic_038,0.9500000000000001,385.433050236777,16.059710426532373,0.5230254968523653,14.449329121122409,16.96307127724267,0.3265558543607096,True,Optimal,69916.82053270978,69506.82053270978,410.0,2,222222222222222222222222222222222332222222222222
arithmetic,arithmetic_039,0.9750000000000001,385.4330502367769,16.059710426532373,0.5337976120619776,14.417442166074846,16.967285647883784,0.32734545750449506,True,Optimal,69918.18185159727,69508.18185159727,410.0,2,222222222222222222222222222222222332222222222222
arithmetic,arithmetic_040,1.0,385.433050236777,16.059710426532373,0.5462715658989881,14.385555211027285,16.971500018524907,0.33161342975603136,True,Optimal,69919.72468683976,69509.72468683976,410.0,2,222222222222222222222222222222222332222222222222
uniform,uniform_000,0.4166666666666667,385.433050236777,16.059710426532373,0.9541821214027144,14.717040679455293,18.752630258664315,0.8489940095287616,True,Optimal,69940.37835034546,69600.37835034546,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_001,0.4375,385.4330502367769,16.059710426532373,0.9278802914606232,14.72707558430595,18.907796410442213,0.7436268678454224,True,Optimal,69937.42982522072,69597.42982522072,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_002,0.5416666666666666,385.433050236777,16.059710426532373,0.7779378294755944,14.660415013815987,18.165835431214973,0.7605352606869678,True,Optimal,69936.34379588354,69596.34379588354,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_003,0.5,385.43305023677704,16.059710426532376,0.9860146905888858,14.4231046861782,18.365449648197558,0.7176473760139924,True,Optimal,69939.42631528132,69599.42631528132,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_004,0.4791666666666667,385.433050236777,16.059710426532373,0.9740329216285114,14.195466242728248,18.633705575510152,0.9174539181134874,True,Optimal,69944.33596683745,69604.33596683745,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_005,0.5625,385.433050236777,16.059710426532373,0.9478982143298437,14.463512138768005,18.901751471549908,0.7246510133451911,True,Optimal,69937.70422006649,69597.70422006649,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_006,0.4583333333333333,385.43305023677704,16.059710426532376,0.868697081623357,14.434538858435685,18.40834962173295,0.9190688213682451,True,Optimal,69938.44779018784,69598.44779018784,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_007,0.4583333333333333,385.4330502367769,16.059710426532373,0.8688978140177448,14.517049013397715,18.986754147457525,0.6749567941608033,True,Optimal,69937.19078409372,69597.19078409372,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_008,0.5625,385.433050236777,16.059710426532376,0.8163840061364926,14.469553446142173,18.232492370186797,0.9201454516506079,True,Optimal,69937.02948299008,69597.02948299008,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_009,0.4583333333333333,385.43305023677704,16.059710426532376,0.818031895144428,14.3622005708686,18.15660529619113,0.6677642522031291,True,Optimal,69939.85383446651,69599.85383446651,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_010,0.4375,385.433050236777,16.059710426532373,0.9517308168095961,14.36126946465227,18.83097459871208,0.8855325615415314,True,Optimal,69939.9799605634,69599.9799605634,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_011,0.4791666666666667,385.43305023677704,16.059710426532376,0.9718366305315769,14.553793983794828,18.734514809931092,0.81375825048397,True,Optimal,69942.49697251165,69602.49697251165,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_012,0.5208333333333334,385.4330502367769,16.059710426532373,0.8614294930687373,14.458214136000489,18.25261886132302,0.7519894028811026,True,Optimal,69935.34954883963,69595.34954883963,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_013,0.5,385.433050236777,16.059710426532373,0.8963409977807989,14.452764726107677,18.42657548940494,0.7782166174061345,True,Optimal,69938.52945606662,69598.52945606662,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_014,0.375,385.433050236777,16.059710426532373,0.9188243023715024,14.24606674286361,18.219877506160874,0.7892784016772378,True,Optimal,69943.63858713093,69603.63858713093,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_015,0.5416666666666666,385.433050236777,16.059710426532373,0.8094717797002113,14.508573312611135,18.154476940217233,0.6596857052300859,True,Optimal,69936.3687981254,69596.3687981254,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_016,0.4791666666666667,385.433050236777,16.059710426532373,0.936413089072505,14.692866497222065,18.76873595112601,0.7911883308650823,True,Optimal,69940.51502179413,69600.51502179413,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_017,0.5833333333333334,385.43305023677704,16.059710426532376,0.8811684714709143,14.332126012289669,18.770365345071575,0.805541674642929,True,Optimal,69940.50837983847,69600.50837983847,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_018,0.5416666666666666,385.4330502367769,16.059710426532373,1.0325319426083293,14.386642578050935,18.856347712110743,0.8772626013056096,True,Optimal,69942.61582047527,69602.61582047527,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_019,0.3958333333333333,385.43305023677704,16.059710426532373,0.9489952588097499,14.29708520038518,18.766790334444988,1.0132107881984105,True,Optimal,69943.8994692592,69603.8994692592,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_020,0.6041666666666666,385.4330502367769,16.059710426532373,0.8538684807661914,14.559545319658866,18.74026614579513,0.7740346128042508,True,Optimal,69941.30426503244,69601.30426503244,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_021,0.5,385.4330502367769,16.059710426532373,0.8943166159651349,14.575639088308687,18.338578012353313,0.7075366948619353,True,Optimal,69934.85113667957,69594.85113667957,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_022,0.3125,385.433050236777,16.059710426532373,0.9268965180026251,14.434337567034387,18.228742292356916,0.8311932251099826,True,Optimal,69936.69025439557,69596.69025439557,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_023,0.625,385.4330502367769,16.059710426532373,0.8551858498515054,14.337784644998907,18.311595408296167,0.9117870026195546,True,Optimal,69939.88650796152,69599.88650796152,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_024,0.5208333333333334,385.433050236777,16.059710426532373,0.8780458712835424,14.403651338235296,18.049554965841395,0.7700825015210646,True,Optimal,69939.04022060928,69599.04022060928,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_025,0.5208333333333334,385.433050236777,16.059710426532373,0.9018548922461637,14.420410802330041,18.890115936389847,0.6708420316142263,True,Optimal,69942.66451446281,69602.66451446281,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_026,0.4583333333333333,385.43305023677704,16.059710426532376,1.006587207869868,14.366167972492326,18.804407305274232,0.9388344130117073,True,Optimal,69942.89298178906,69602.89298178906,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_027,0.4583333333333333,385.4330502367769,16.059710426532373,0.964913559682401,14.499522786822828,18.969227920882638,0.9337906036773698,True,Optimal,69937.44072177053,69597.44072177053,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_028,0.4583333333333333,385.433050236777,16.059710426532373,0.9250763608386423,14.655412409149292,18.34023886452301,0.7915895780294993,True,Optimal,69936.28812143022,69596.28812143022,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_029,0.4791666666666667,385.433050236777,16.059710426532373,1.0239547195970569,14.380749249716192,18.850454383776,0.8365342894379867,True,Optimal,69944.65883607761,69604.65883607761,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_030,0.5416666666666666,385.4330502367769,16.059710426532373,0.869394888097553,14.715050402767622,18.399876858141337,0.6766529426481959,True,Optimal,69936.83329509164,69596.83329509164,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_031,0.6458333333333334,385.43305023677704,16.059710426532376,0.8713301582423703,14.399770977492784,18.83801031027469,0.8288072146716792,True,Optimal,69939.25515520529,69599.25515520529,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_032,0.6041666666666666,385.433050236777,16.059710426532376,0.8693754013891284,14.319325230222322,18.26167019224168,0.7749444950645146,True,Optimal,69938.96281199026,69598.96281199026,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_033,0.4791666666666667,385.433050236777,16.059710426532373,0.8609282386128058,14.585933995471676,18.12562920391815,0.8863793038617701,True,Optimal,69940.23502690553,69600.23502690553,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_034,0.6041666666666666,385.43305023677704,16.059710426532376,0.7334009364395957,14.78076202030233,17.574314605380625,0.5947195890495598,True,Optimal,69935.96181715128,69595.96181715128,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_035,0.5625,385.433050236777,16.059710426532373,0.8533133910437107,14.33201519956432,18.80172033362413,0.8029035338032923,True,Optimal,69942.64232371558,69602.64232371558,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_036,0.625,385.43305023677704,16.059710426532376,0.7878179342840138,14.368905470351079,18.01480909795718,0.6969266114325346,True,Optimal,69939.62259855228,69599.62259855228,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_037,0.4791666666666667,385.43305023677704,16.059710426532376,0.9143240893753398,14.270912527649989,18.244723290947253,0.8002703734249168,True,Optimal,69940.9522887628,69600.9522887628,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_038,0.5208333333333334,385.43305023677704,16.059710426532373,0.9210819944129461,14.32109392663441,18.79079906069422,0.8101149990437059,True,Optimal,69943.61341313523,69603.61341313523,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_039,0.5833333333333334,385.433050236777,16.059710426532376,0.796220654832642,14.385507755210968,18.327852717230325,0.8281111837070134,True,Optimal,69938.35315925538,69598.35315925538,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_040,0.4583333333333333,385.4330502367769,16.059710426532373,1.0367562183971655,14.46557346344287,18.93527859750268,0.9653777054450957,True,Optimal,69941.85523743746,69601.85523743746,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_041,0.6041666666666666,385.4330502367769,16.059710426532373,0.7704896944674897,14.762262957276816,18.111527510676982,0.728147043137973,True,Optimal,69934.37507443967,69594.37507443967,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_042,0.4583333333333333,385.4330502367769,16.059710426532373,0.9288977346818696,14.740071687675737,18.77566126688476,0.8488007423464221,True,Optimal,69940.04950884148,69600.04950884148,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_043,0.375,385.4330502367769,16.059710426532373,1.0708356816430682,14.539728918415355,18.720449744551615,0.9525656833905033,True,Optimal,69945.94029183936,69605.94029183936,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_044,0.625,385.4330502367769,16.059710426532373,0.9077354094681098,14.404900807588495,18.8431401403704,0.981335393881997,True,Optimal,69938.3691269336,69598.3691269336,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_045,0.4375,385.4330502367769,16.059710426532373,0.9690280614891466,14.672770985264771,18.853491811401035,0.8586960806247439,True,Optimal,69940.57820024145,69600.57820024145,340.0,0,222222222222222222222222222222222222222222222222
