t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
35,0.5,16.50201175696901,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.3220117569999985,1,0,797.8012794385293,3.88,10.08,4.177988243000003
36,0.5,16.42302358353089,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.243023583500001,1,0,784.3699742174765,3.88,10.08,4.256976416500001
37,0.5,16.46162649926532,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.2816264993,1,0,790.9340903573743,3.88,10.08,4.218373500700002
38,0.5,16.20709708891185,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.0270970889,1,0,747.6534060810493,3.88,10.08,4.472902911100002
39,0.5,16.037770833203187,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.8577708331999996,1,0,718.8608347191506,3.88,10.08,4.642229166800002
40,0.5,16.4493885452669,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.2693885453,1,0,788.8531244586604,3.88,10.08,4.230611454700002
41,0.5,16.478561662297302,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.298561662299999,1,0,793.8137789631791,3.88,10.08,4.201438337700003
42,0.5,16.444109995506835,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.2641099955,1,0,787.9555494123363,3.88,10.08,4.235890004500002
43,0.5,16.589225221835395,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.4092252218,1,0,812.6312294577481,3.88,10.08,4.090774778200002
44,0.5,16.415669077201635,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.235669077200001,1,0,783.1193994226884,3.88,10.08,4.264330922800001
45,0.5,16.414147305975014,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.2341473060000006,1,0,782.8606344385377,3.88,10.08,4.265852694000001
46,0.5,16.380432877327983,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.200432877299999,1,0,777.1277663121068,3.88,10.08,4.299567122700003
47,0.5,15.114186871495455,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,2.9341868714999992,1,0,561.8127914843983,3.88,10.08,5.565813128500002
