case_name,segment,phase,when_utc,dt_h,distance_nm,node_from_lat,node_from_lon,node_to_lat,node_to_lon,heading_deg,encounter_angle_deg,speed_sog_kts,speed_stw_kts,speed_stw_power_kts,current_component_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,PD_kW,BHP_kW,total_resistance_N,R_calm_N,R_wind_N,R_wave_N,relative_wind_speed_ms,relative_wind_dir_deg,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh
case3_ga_integrated,10,cruising,2025-03-25T11:00:00+00:00,0.5,9.362486645590911,34.379237670899144,127.61197494507174,34.3605209350593,127.4244210052523,263.15922334816753,1.3386135904551884,18.724973291181822,18.60807441044216,18.60807441044216,0.11689888073966063,2.3845451276624963,87.23583165350408,0.10361898606696074,317.6822609821967,0.22482949495315555,4.137725830078125,178.1720550500393,14.177972511874417,3.5,17.677972511874415,13894.41306163693,14177.972511874417,1030213.2347124821,1029949.6621647894,263.57254769270634,0.0,7.256418525728915,1.3386135904551884,1597.4585832370547,17.6779725119,0.0,0.0,0.8460167759896592,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,5.04,1,0,910.9068696,5.077972511899998,1,0,917.6499924741092
case3_ga_integrated,11,cruising,2025-03-25T11:30:00+00:00,0.5,9.432065166297843,34.3605209350593,127.4244210052523,34.33263969421457,127.23717084884962,259.8298248604728,2.450322659475216,18.864130332595686,18.754726947072093,18.754726947072093,0.1094033855235918,2.741393535305045,86.08445594924626,0.07652746010154148,302.48479747051647,0.22482949495315555,4.137725830078125,178.1720550500393,14.562034882133057,3.5,18.062034882133055,14270.794184490396,14562.034882133057,1049112.7148552628,1048665.555667418,447.1591878446859,0.0,6.985850581267655,2.450322659475216,1631.559300097721,18.0620348821,0.0,0.0,0.8460167759896592,0.0,0,0,0.0,7.982034882100002,1,0,1441.3048609954417,5.04,1,0,910.9068696,5.04,1,0,910.9068696
case3_ga_integrated,12,cruising,2025-03-25T12:00:00+00:00,0.5,9.486366917455275,34.33263969421457,127.23717084884962,34.3000000000007,127.0500000000031,258.13071284899684,3.669174364623295,18.97273383491055,18.930285855914715,18.930285855914715,0.042447978995836064,2.7984314122096214,87.35883436669508,0.03981660383989952,314.8705020038365,0.18845254182815552,4.090850830078125,182.00018487429696,15.034705011148086,3.5,18.534705011148084,14734.010910925124,15034.705011148086,1072174.8832479664,1071500.163992565,674.7192554015171,0.0,7.012570300376543,3.669174364623295,1673.5274581058327,18.5347050111,0.0,0.0,0.8460167759896592,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,5.04,1,0,910.9068696,5.934705011100001,1,0,1069.7877422116653
case3_ga_integrated,13,cruising,2025-03-25T12:30:00+00:00,0.5,8.191129384779806,34.3000000000007,127.0500000000031,34.285078125000695,126.88585937500301,263.7668758855519,3.3957330112921276,16.382258769559613,16.372350056486226,16.372350056486226,0.0099087130733873,2.587564639259174,91.49438563506172,0.017625915514163044,190.5771578276325,0.18845254182815552,4.090850830078125,182.00018487429696,9.38482311539402,3.5,12.88482311539402,9197.12665308614,9384.82311539402,780062.1605456583,779624.0315718779,438.12897378048257,0.0,5.874001728610357,3.3957330112921276,1286.4225936274668,14.021312041933491,0.0,1.1364889265334914,0.9,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,1.8,1,0,359.9708625,4.661312041933491,1,0,846.5140203549338
case3_ga_integrated,14,cruising,2025-03-25T13:00:00+00:00,0.5,8.278360133774264,34.285078125000695,126.88585937500301,34.2700000000007,126.72000000000293,263.76845396214,5.891455148175903,16.556720267548528,16.7145908980739,16.7145908980739,-0.1578706305253721,2.108693241522913,102.37137346043343,0.08370186852103956,69.76854830622783,0.18845254182815552,4.090850830078125,182.00018487429696,10.018182718886786,3.5,13.518182718886786,9817.81906450905,10018.182718886786,815044.2558427686,814098.0557006866,946.2001420819398,0.0,6.553602068957048,5.891455148175901,1243.6460411140413,13.5181827189,0.0,0.0,0.9,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,1.8,1,0,359.9708625,4.1581827189,1,0,760.9609153280826
case3_ga_integrated,15,cruising,2025-03-25T13:30:00+00:00,0.5,12.419513505619973,34.2700000000007,126.72000000000293,34.2600000000007,126.4700000000028,267.2994156997799,5.2186270457680735,24.839027011239946,25.2784176282249,25.2784176282249,-0.4393906169849534,1.7254761289382372,124.42566952271787,0.22641909025101256,90.6072283355999,0.0,0.0,0.0,23.28,3.5,26.78,22814.399999999998,23280.0,2338883.8031023405,2336325.4017328382,2558.401369502268,0.0,11.450015121466233,5.2186270457680735,1964.9905985250002,21.78,5.0,0.0,0.6422680412370001,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,6.480000000000001,1,0,1173.2505678000002
case3_ga_integrated,16,cruising,2025-03-25T14:00:00+00:00,0.5,10.292428443863326,34.2600000000007,126.4700000000028,34.23539062500069,126.26476562500271,261.80398785162566,11.89196257532638,20.58485688772665,20.901870915964484,20.901870915964484,-0.3170140282378331,2.182274562671662,159.43337082288127,0.17349448409165164,101.75131854245816,0.0,0.0,0.0,21.452528332204693,3.5,24.952528332204693,21023.477765560598,21452.528332204693,1367369.742432353,1362611.4448787232,4758.29755362987,0.0,10.344247010432978,11.89196257532638,1929.711440475,21.42,3.532528332199999,0.0,0.4601789519482602,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,17,cruising,2025-03-25T14:30:00+00:00,0.5,10.279244116039504,34.23539062500069,126.26476562500271,34.2100000000007,126.06000000000259,261.52887166892174,16.363011523885202,20.558488232079007,20.699021477512197,20.699021477512197,-0.14053324543319054,3.043166850576129,166.90217676688542,0.08182104013173866,109.45002208184488,0.5175541043281555,4.724884033203126,193.15643831573897,20.749324509084587,3.5,24.249324509084587,20334.338018902898,20749.32450908459,1336810.6791432975,1329789.474270485,5845.79312914702,1175.4117436653346,10.76681763827703,16.363011523885202,1929.711440475,21.42,2.8293245090999983,0.0,0.314337482406959,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,18,cruising,2025-03-25T15:00:00+00:00,0.5,9.932535049337076,34.2100000000007,126.06000000000259,34.20275966644356,125.86015887737524,267.5477350303307,17.99221514958836,19.865070098674153,19.949449121977253,19.949449121977253,-0.0843790233030992,3.1933616266094607,168.24962767343854,0.07209010853857771,140.52447237569285,0.6698978543281555,4.933135986328125,190.8048724487453,18.174756781248885,3.5,21.674756781248885,17811.26164562391,18174.756781248885,1221075.5595678578,1213988.4729675981,4544.39169563836,2542.694904621127,10.202424713248213,17.99221514958836,1929.711440475,21.42,0.25475678119999934,0.0,0.30120568956159244,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,19,cruising,2025-03-25T15:30:00+00:00,0.5,9.694538391926628,34.20275966644356,125.86015887737524,34.18472843170236,125.6661693972373,263.6428383471034,18.07985505402256,19.389076783853255,19.332245046661754,19.332245046661754,0.05683173719150318,3.1229201757336065,163.15595567809777,0.030550466236228722,280.50638107161444,0.6698978543281555,4.933135986328125,190.8048724487453,16.271423409179622,3.5,19.771423409179622,15945.99494099603,16271.423409179622,1132280.4061126614,1125626.4543472591,4238.7781481861675,2415.173617216109,9.894744152819303,18.07985505402256,1783.3351018695864,19.7714234092,0.0,0.0,0.30120568956159244,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,6.12,1,0,1102.6922517,6.0914234092,1,0,1097.617647639173
