t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
35,0.5,16.426164433674334,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.246164433699999,1,0,784.9040505965155,5.0,10.08,5.373835566300002
36,0.5,16.337222283673825,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.157222283700001,1,0,769.7801515274142,5.0,10.08,5.4627777163
37,0.5,16.371542292630046,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.191542292600001,1,0,775.6159937085879,5.0,10.08,5.4284577074
38,0.5,16.246182441285264,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.0661824413000005,1,0,754.2995566944298,5.0,10.08,5.5538175587000005
39,0.5,16.049551308712424,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.8695513086999997,1,0,720.8640100690609,5.0,10.08,5.750448691300001
40,0.5,16.521203256844416,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.3412032568,1,0,801.0646400157125,5.0,10.08,5.278796743200001
41,0.5,16.352798134506273,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.172798134499999,1,0,772.4286999986907,5.0,10.08,5.447201865500002
42,0.5,16.44828074332228,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.2682807433,1,0,788.664751615902,5.0,10.08,5.351719256700001
43,0.5,16.569129720357445,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.3891297204,1,0,809.2141506608381,5.0,10.08,5.230870279600001
44,0.5,16.39215268529126,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.212152685300001,1,0,779.1206256403475,5.0,10.08,5.4078473147
45,0.5,16.355017737431147,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.175017737400001,1,0,772.8061256650719,5.0,10.08,5.4449822626
46,0.5,15.746913318292524,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.5669133183000006,1,0,669.402847714819,5.0,10.08,6.0530866817
47,0.5,12.19110557299124,0.0,0.0,0.7,0.0,0,0,0.0,0.0,0,0,0.0,5.88,1,0,1062.7246812,6.311105573,1,0,1139.2800025363376,5.0,6.311105573,1.2088944270000006
