single_P_req_MW,feasible,status,total_fuel_kg,total_operating_fuel_kg,total_start_fuel_kg,objective_value,DG_count,commitment,N1_min_margin_MW,DG1_ON,DG1_P_MW,DG2_ON,DG2_P_MW,DG3_ON,DG3_P_MW,DG4_ON,DG4_P_MW
17.5,True,Optimal,3592.3332677500002,3182.3332677500002,410.0,3592.3332677500002,3,DG2+DG3+DG4,4.15,0,0.0,1,7.5600000000000005,1,5.88,1,4.06
17.75,True,Optimal,3634.8437621249996,3224.8437621249996,410.0,3634.8437621249996,3,DG2+DG3+DG4,3.8999999999999986,0,0.0,1,7.560000000000002,1,5.879999999999999,1,4.309999999999999
18.0,True,Optimal,3677.3542565,3267.3542565,410.0,3677.3542565,3,DG2+DG3+DG4,3.6500000000000004,0,0.0,1,7.5600000000000005,1,5.88,1,4.56
18.25,True,Optimal,3719.864750875,3309.864750875,410.0,3719.864750875,3,DG2+DG3+DG4,3.3999999999999986,0,0.0,1,7.560000000000002,1,5.879999999999999,1,4.809999999999999
18.5,True,Optimal,3762.3752452500003,3352.3752452500003,410.0,3762.3752452500003,3,DG2+DG3+DG4,3.1500000000000004,0,0.0,1,7.5600000000000005,1,5.88,1,5.06
18.75,True,Optimal,3804.8857396249996,3394.8857396249996,410.0,3804.8857396249996,3,DG2+DG3+DG4,2.8999999999999986,0,0.0,1,7.560000000000002,1,5.879999999999999,1,5.309999999999999
19.0,True,Optimal,3847.3962340000003,3437.3962340000003,410.0,3847.3962340000003,3,DG2+DG3+DG4,2.6500000000000004,0,0.0,1,7.560000000000004,1,5.879999999999997,1,5.559999999999999
19.25,True,Optimal,3889.9067283750005,3479.9067283750005,410.0,3889.9067283750005,3,DG2+DG3+DG4,2.4000000000000004,0,0.0,1,7.560000000000004,1,5.879999999999997,1,5.809999999999999
19.5,True,Optimal,3933.77389715,3523.77389715,410.0,3933.77389715,3,DG1+DG3+DG4,2.1499999999999986,1,7.560000000000002,0,0.0,1,5.879999999999999,1,6.059999999999999
19.75,True,Optimal,3978.168661525,3568.168661525,410.0,3978.168661525,3,DG1+DG3+DG4,1.9000000000000004,1,7.5600000000000005,0,0.0,1,5.88,1,6.31
20.0,True,Optimal,4022.5634259,3612.5634259,410.0,4022.5634259,3,DG1+DG3+DG4,1.6500000000000004,1,7.5600000000000005,0,0.0,1,5.88,1,6.56
20.25,True,Optimal,4066.9581902749997,3656.9581902749997,410.0,4066.9581902749997,3,DG2+DG3+DG4,1.4000000000000004,0,0.0,1,7.5600000000000005,1,5.88,1,6.81
20.5,True,Optimal,4111.352954649999,3701.35295465,410.0,4111.352954649999,3,DG2+DG3+DG4,1.1500000000000004,0,0.0,1,7.5600000000000005,1,5.88,1,7.06
20.75,True,Optimal,4155.747719025,3745.747719025,410.0,4155.747719025,3,DG1+DG3+DG4,0.9000000000000004,1,7.5600000000000005,0,0.0,1,7.14,1,6.05
21.0,True,Optimal,4200.1424834,3790.1424834,410.0,4200.1424834,3,DG2+DG3+DG4,0.6500000000000004,0,0.0,1,7.560000000000004,1,7.139999999999996,1,6.3
21.25,True,Optimal,4244.537247775,3834.5372477749997,410.0,4244.537247775,3,DG2+DG3+DG4,0.39999999999999947,0,0.0,1,7.560000000000004,1,7.139999999999996,1,6.55
21.5,True,Optimal,4288.93201215,3878.93201215,410.0,4288.93201215,3,DG2+DG3+DG4,0.14999999999999947,0,0.0,1,7.5600000000000005,1,7.14,1,6.8
21.75,True,Optimal,4388.629583125,3928.629583125,460.0,4388.629583125,3,DG1+DG2+DG4,2.3000000000000007,1,7.5600000000000005,1,8.309999999999999,0,0.0,1,5.88
22.0,True,Optimal,4433.0243475,3973.0243474999997,460.0,4433.0243475,3,DG1+DG2+DG4,2.0500000000000007,1,7.5600000000000005,1,8.559999999999999,0,0.0,1,5.88
22.25,True,Optimal,4477.419111875,4017.419111875,460.0,4477.419111875,3,DG1+DG2+DG3,1.799999999999999,1,7.5600000000000005,1,8.81,1,5.879999999999999,0,0.0
22.5,True,Optimal,4521.813876249999,4061.8138762499993,460.0,4521.813876249999,3,DG1+DG2+DG3,1.549999999999999,1,7.5600000000000005,1,7.8,1,7.14,0,0.0
22.75,True,Optimal,4566.208640625,4106.208640625,460.0,4566.208640625,3,DG1+DG2+DG3,1.299999999999999,1,7.5600000000000005,1,8.05,1,7.14,0,0.0
