idx,route_P_req_MW,t_star,feasible,status,total_fuel_kg,total_operating_fuel_kg,total_start_fuel_kg,objective_value,DG_count,commitment,N1_min_margin_MW,DG1_ON,DG1_P_MW,DG2_ON,DG2_P_MW,DG3_ON,DG3_P_MW,DG4_ON,DG4_P_MW
77,15.637868105224246,34,True,Optimal,69786.38220596343,69376.38220596343,410.0,69786.38220596347,2,DG2+DG4,1.2621318947999995,0,0.0,1,9.18,0,0.0,1,6.457868105200001
78,15.654131909044986,34,True,Optimal,69787.82626143852,69377.82626143852,410.0,69787.82626143855,2,DG2+DG3,1.2458680910000002,0,0.0,1,9.18,1,6.4741319090000005,0,0.0
79,15.670395712865727,34,True,Optimal,69789.27031692247,69379.27031692247,410.0,69789.27031692253,2,DG2+DG4,1.2296042871000008,0,0.0,1,9.18,0,0.0,1,6.4903957129
80,15.686659516686465,34,True,Optimal,69790.71437239758,69380.71437239758,410.0,69790.71437239762,2,DG2+DG4,1.2133404832999997,0,0.0,1,9.18,0,0.0,1,6.506659516700001
81,15.702923320507205,34,True,Optimal,69792.15842787265,69382.15842787265,410.0,69792.15842787268,2,DG1+DG3,1.1970766795000003,1,9.18,0,0.0,1,6.5229233205,0,0.0
82,15.719187124327945,34,True,Optimal,69793.60248334773,69383.60248334773,410.0,69793.60248334776,2,DG1+DG3,1.180812875700001,1,9.18,0,0.0,1,6.5391871243,0,0.0
83,15.735450928148685,34,True,Optimal,69795.04653882282,69385.04653882282,410.0,69795.04653882285,2,DG2+DG4,1.1645490719000016,0,0.0,1,8.5954509281,0,0.0,1,7.14
84,15.751714731969425,34,True,Optimal,69796.49059430677,69386.49059430677,410.0,69796.49059430683,2,DG1+DG4,1.1482852680000004,1,9.18,0,0.0,0,0.0,1,6.571714732
85,15.767978535790164,34,True,Optimal,69797.93464978186,69387.93464978186,410.0,69797.93464978192,2,DG1+DG4,1.132021464200001,1,9.18,0,0.0,0,0.0,1,6.5879785358
86,15.784242339610904,34,True,Optimal,69799.37870525694,69389.37870525694,410.0,69799.37870525698,2,DG2+DG3,1.1157576604,0,0.0,1,8.644242339600002,1,7.14,0,0.0
87,15.800506143431644,34,True,Optimal,69800.82276073203,69390.82276073203,410.0,69800.82276073209,2,DG2+DG4,1.0994938566000005,0,0.0,1,9.18,0,0.0,1,6.6205061434
88,15.816769947252384,34,True,Optimal,69802.74837101814,69392.74837101814,410.0,69802.74837101816,2,DG1+DG3,1.0832300527000012,1,9.18,0,0.0,1,6.6367699472999995,0,0.0
89,15.833033751073124,34,True,Optimal,69804.34106482282,69394.34106482282,410.0,69804.34106482286,2,DG1+DG4,1.0669662489,1,9.18,0,0.0,0,0.0,1,6.653033751100001
90,15.849297554893862,34,True,Optimal,69805.15492716615,69395.15492716615,410.0,69805.1549271662,2,DG1+DG3,1.0507024451000007,1,9.18,0,0.0,1,6.6692975549,0,0.0
91,15.865561358714602,34,True,Optimal,69806.69835856253,69396.69835856253,410.0,69806.69835856257,2,DG1+DG3,1.0344386413000013,1,9.18,0,0.0,1,6.685561358699999,0,0.0
92,15.881825162535343,34,True,Optimal,69808.04303811633,69398.04303811633,410.0,69808.04303811639,2,DG2+DG4,1.0181748375000002,0,0.0,1,9.18,0,0.0,1,6.7018251625000005
93,15.898088966356083,34,True,Optimal,69809.48709360028,69399.48709360028,410.0,69809.48709360034,2,DG2+DG4,1.0019110336000008,0,0.0,1,9.18,0,0.0,1,6.7180889664
94,15.914352770176823,34,True,Optimal,69810.93114907538,69400.93114907538,410.0,69810.93114907542,2,DG2+DG3,0.9856472297999996,0,0.0,1,9.18,1,6.734352770200001,0,0.0
95,15.930616573997561,34,True,Optimal,69812.37520455047,69402.37520455047,410.0,69812.3752045505,2,DG1+DG3,0.9693834260000003,1,9.18,0,0.0,1,6.750616574,0,0.0
96,15.946880377818301,34,True,Optimal,69813.81926002554,69403.81926002554,410.0,69813.81926002557,2,DG1+DG3,0.9531196222000009,1,9.18,0,0.0,1,6.7668803778,0,0.0
97,15.963144181639041,34,True,Optimal,69815.26331550065,69405.26331550065,410.0,69815.26331550068,2,DG2+DG4,0.9368558184000015,0,0.0,1,8.8231441816,0,0.0,1,7.14
98,15.979407985459781,34,True,Optimal,69816.7073709846,69406.7073709846,410.0,69816.70737098464,2,DG2+DG4,0.9205920145000022,0,0.0,1,8.8394079855,0,0.0,1,7.14
99,15.995671789280522,34,True,Optimal,69818.78161959142,69408.78161959142,410.0,69818.78161959148,2,DG1+DG4,0.904328210700001,1,8.8556717893,0,0.0,0,0.0,1,7.14
100,16.01193559310126,34,True,Optimal,69819.59548193477,69409.59548193477,410.0,69819.59548193481,2,DG2+DG4,0.8880644069000034,0,0.0,1,8.871935593099998,0,0.0,1,7.14
101,16.028199396922002,34,True,Optimal,69821.03953740986,69411.03953740986,410.0,69821.03953740989,2,DG1+DG3,0.8718006031000023,1,8.8881993969,0,0.0,1,7.14,0,0.0
